request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
1,1,PM7zpNc2il0WE4z199YFdS8I,v4,1768909779.231372,4005,False,2.653875038959086,False,False
1,2,PM7zpNc2il0WE4z199YFdS8I,v4,1768909779.250515,4007,True,1.444959081709385,True,True
2,1,MjGPVzwFM15FSJVxfvFUUOC3,v4,1768909779.329791,4004,True,2.0548750180751085,True,True
3,1,qUGuIUE7ft0qFpeVtIdef2AY,v4,1768909779.4299252,4000,False,2.1263749804347754,False,False
3,2,qUGuIUE7ft0qFpeVtIdef2AY,v4,1768909779.432152,4004,True,0.7081660442054272,True,True
4,1,dOt3BEX9sW18Icl6DsXD4a3A,v4,1768909779.5309482,4001,True,2.374999923631549,True,True
5,1,eevTfN1dBJ9lRVKUWG87mQr7,v4,1768909779.631078,4001,False,0.8926669834181666,False,False
5,2,eevTfN1dBJ9lRVKUWG87mQr7,v4,1768909779.6320589,4009,False,1.6073749866336584,False,False
5,3,eevTfN1dBJ9lRVKUWG87mQr7,v4,1768909779.633732,4003,False,1.3521669898182154,False,False
5,4,eevTfN1dBJ9lRVKUWG87mQr7,v4,1768909779.6351302,4004,True,0.737291993573308,True,True
6,1,43YwJtqDlwo0fWDPVXT8GAAj,v4,1768909779.732555,4004,True,1.632041996344924,True,True
7,1,AE1Rc3SWHSjDQYKrZ3eRvh86,v4,1768909779.8333209,4008,False,1.9222500268369913,False,False
7,2,AE1Rc3SWHSjDQYKrZ3eRvh86,v4,1768909779.835364,4007,False,0.8312920108437538,False,False
7,3,AE1Rc3SWHSjDQYKrZ3eRvh86,v4,1768909779.836252,4004,True,0.9901669109240174,True,True
8,1,myykvo0GZ18XpfXxrt6TDFM6,v4,1768909779.934273,4004,False,1.0101250372827053,False,False
8,2,myykvo0GZ18XpfXxrt6TDFM6,v4,1768909779.935392,4002,True,1.8478749552741647,True,True
9,1,UbMC9SPNxyRgTSl2wQYApFnj,v4,1768909780.0352662,4004,True,1.234250026755035,True,True
10,1,xKa77BzdReF2SwG0PkFId9fy,v4,1768909780.136607,4002,False,1.1927499435842037,False,False
10,2,xKa77BzdReF2SwG0PkFId9fy,v4,1768909780.137933,4004,True,1.0122500825673342,True,True
11,1,MO60P3PDlFeS7AD6D4Ws7ShR,v4,1768909780.237084,4006,True,2.1312499884516,True,True
12,1,0Jml5nuTf6sy2zKw6cEwjxrr,v4,1768909780.3384519,4004,True,1.5530419768765569,True,True
13,1,Z9Yij5Xb1mhfvNCV3Ja97fLh,v4,1768909780.4394848,4005,True,1.1902089463546872,True,True
14,1,9wJGGMRBVZjQzKLlVpYkL0Gj,v4,1768909780.540362,4004,True,1.0972089366987348,True,True
